X,CH1,CH2,CH3,Start,Increment,
Sequence,Volt,Volt,Volt,-6.000000e-03,1.000000e-05
107,9.40e+00,1.12e+00,4.40e-01,
108,8.80e+00,1.16e+00,4.00e-01,
109,1.06e+01,-8.00e-01,6.00e-01,
110,9.60e+00,-8.40e-01,5.20e-01,
111,-1.20e+00,-2.04e+00,-4.00e-02,
112,-8.00e-01,-2.04e+00,0.00e+00,
113,-1.04e+01,-1.00e+00,-5.60e-01,
114,-1.04e+01,-1.04e+00,-6.00e-01,
115,-8.40e+00,9.20e-01,-4.00e-01,
116,-8.80e+00,8.80e-01,-4.80e-01,
117,1.80e+00,1.84e+00,1.60e-01,
118,1.60e+00,1.84e+00,1.20e-01,
119,1.06e+01,6.80e-01,5.60e-01,
120,1.06e+01,7.20e-01,6.00e-01,
121,7.40e+00,-1.40e+00,2.80e-01,
122,7.80e+00,-1.36e+00,3.20e-01,
123,-4.60e+00,-2.08e+00,-3.20e-01,
124,-4.40e+00,-1.88e+00,-3.20e-01,
125,-1.04e+01,-5.20e-01,-6.40e-01,
126,-1.04e+01,-5.60e-01,-6.80e-01,
127,-6.40e+00,1.40e+00,-2.00e-01,
128,-6.80e+00,1.36e+00,-2.40e-01,
129,5.00e+00,1.84e+00,4.00e-01,
130,4.80e+00,1.64e+00,3.60e-01,
131,1.06e+01,1.20e-01,6.00e-01,
132,1.06e+01,1.60e-01,5.20e-01,
133,4.60e+00,-1.84e+00,0.00e+00,
134,4.80e+00,-2.04e+00,4.00e-02,
135,-7.60e+00,-1.60e+00,-5.20e-01,
136,-7.60e+00,-1.60e+00,-5.20e-01,
137,-1.04e+01,-4.00e-02,-6.40e-01,
138,-1.02e+01,-4.00e-02,-5.60e-01,
139,-3.60e+00,1.72e+00,8.00e-02,
140,-3.60e+00,1.88e+00,4.00e-02,
141,7.80e+00,1.32e+00,5.20e-01,
142,7.40e+00,1.36e+00,6.00e-01,
143,1.06e+01,-4.40e-01,3.60e-01,
144,1.02e+01,-4.40e-01,4.00e-01,
145,1.00e+00,-2.04e+00,-2.40e-01,
146,1.00e+00,-2.04e+00,-2.40e-01,
147,-1.02e+01,-1.28e+00,-6.80e-01,
148,-1.04e+01,-1.24e+00,-6.40e-01,
149,-9.40e+00,5.60e-01,-2.80e-01,
150,-9.80e+00,6.00e-01,-3.20e-01,
151,-2.00e-01,1.84e+00,3.20e-01,
152,-6.00e-01,1.84e+00,3.20e-01,
153,1.00e+01,9.20e-01,6.00e-01,
154,1.06e+01,9.20e-01,6.00e-01,
155,8.60e+00,-1.04e+00,1.20e-01,
156,9.00e+00,-1.08e+00,1.20e-01,
157,-2.40e+00,-2.04e+00,-4.80e-01,
158,-2.60e+00,-2.00e+00,-4.40e-01,
159,-1.04e+01,-8.00e-01,-6.40e-01,
160,-1.04e+01,-8.00e-01,-6.00e-01,
161,-7.80e+00,1.16e+00,0.00e+00,
162,-8.00e+00,1.12e+00,-4.00e-02,
163,3.20e+00,1.84e+00,5.20e-01,
164,2.80e+00,1.76e+00,6.00e-01,
165,1.06e+01,4.40e-01,4.00e-01,
166,1.06e+01,4.80e-01,4.40e-01,
167,6.20e+00,-1.60e+00,-2.00e-01,
168,6.60e+00,-1.60e+00,-1.60e-01,
169,-6.00e+00,-2.04e+00,-6.40e-01,
170,-5.80e+00,-1.80e+00,-6.40e-01,
171,-1.04e+01,-2.80e-01,-3.60e-01,
172,-1.04e+01,-3.60e-01,-4.40e-01,
173,-5.40e+00,1.56e+00,2.80e-01,
174,-5.60e+00,1.84e+00,2.40e-01,
175,6.20e+00,1.52e+00,6.00e-01,
176,6.00e+00,1.52e+00,6.00e-01,
177,1.06e+01,-8.00e-02,1.60e-01,
178,1.06e+01,-8.00e-02,2.00e-01,
179,3.00e+00,-1.96e+00,-4.40e-01,
180,3.20e+00,-2.04e+00,-4.40e-01,
181,-8.80e+00,-1.48e+00,-6.80e-01,
182,-8.40e+00,-1.48e+00,-6.00e-01,
183,-1.04e+01,2.40e-01,-8.00e-02,
184,-1.00e+01,2.40e-01,-1.20e-01,
185,-2.00e+00,1.80e+00,4.80e-01,
186,-2.40e+00,1.88e+00,4.40e-01,
187,8.60e+00,1.16e+00,6.00e-01,
188,8.40e+00,1.16e+00,4.80e-01,
189,1.06e+01,-7.20e-01,-8.00e-02,
190,1.00e+01,-7.20e-01,-8.00e-02,
191,-6.00e-01,-2.04e+00,-6.00e-01,
192,-6.00e-01,-2.04e+00,-6.40e-01,
193,-1.04e+01,-1.08e+00,-4.00e-01,
194,-1.04e+01,-1.08e+00,-4.40e-01,
195,-8.60e+00,8.00e-01,2.00e-01,
196,-9.20e+00,8.40e-01,1.60e-01,
197,1.20e+00,1.84e+00,6.00e-01,
198,1.00e+00,1.84e+00,6.00e-01,
199,1.06e+01,7.20e-01,2.40e-01,
200,1.06e+01,7.60e-01,2.40e-01,
201,7.60e+00,-1.28e+00,-4.00e-01,
202,8.00e+00,-1.32e+00,-3.60e-01,
203,-4.00e+00,-2.04e+00,-6.80e-01,
204,-4.20e+00,-1.92e+00,-6.40e-01,
205,-1.04e+01,-5.60e-01,-1.60e-01,
206,-1.04e+01,-6.40e-01,-2.40e-01,
207,-7.00e+00,1.32e+00,4.40e-01,
208,-6.80e+00,1.32e+00,4.00e-01,
209,4.40e+00,1.84e+00,6.00e-01,
210,4.60e+00,1.68e+00,5.20e-01,
211,1.06e+01,2.40e-01,-4.00e-02,
212,1.06e+01,2.00e-01,0.00e+00,
213,5.00e+00,-1.76e+00,-5.60e-01,
214,5.00e+00,-2.04e+00,-6.40e-01,
215,-7.40e+00,-1.64e+00,-4.00e-01,
216,-6.80e+00,-1.64e+00,-4.80e-01,
217,-1.04e+01,-8.00e-02,1.20e-01,
218,-1.04e+01,-8.00e-02,4.00e-02,
219,-4.20e+00,1.68e+00,6.00e-01,
220,-4.40e+00,1.84e+00,6.00e-01,
221,7.20e+00,1.36e+00,3.20e-01,
222,7.00e+00,1.40e+00,3.20e-01,
223,1.06e+01,-3.60e-01,-2.80e-01,
224,1.02e+01,-3.20e-01,-2.80e-01,
225,1.80e+00,-2.00e+00,-6.80e-01,
226,2.00e+00,-2.04e+00,-6.40e-01,
227,-9.80e+00,-1.32e+00,-2.40e-01,
228,-1.04e+01,-1.36e+00,-2.80e-01,
229,-9.60e+00,4.40e-01,4.00e-01,
230,-1.00e+01,4.40e-01,3.60e-01,
231,-8.00e-01,1.84e+00,6.00e-01,
232,-8.00e-01,1.84e+00,5.20e-01,
233,9.40e+00,1.04e+00,4.00e-02,
234,1.06e+01,1.04e+00,8.00e-02,
235,9.00e+00,-9.60e-01,-5.20e-01,
236,9.40e+00,-9.20e-01,-6.40e-01,
237,-1.60e+00,-2.04e+00,-4.80e-01,
238,-1.80e+00,-2.04e+00,-5.20e-01,
239,-1.04e+01,-9.20e-01,4.00e-02,
240,-1.04e+01,-9.20e-01,0.00e+00,
241,-8.20e+00,1.00e+00,5.20e-01,
242,-8.60e+00,9.60e-01,6.00e-01,
243,2.20e+00,1.84e+00,3.60e-01,
244,2.20e+00,1.80e+00,4.00e-01,
245,1.06e+01,6.00e-01,-2.40e-01,
246,1.06e+01,6.00e-01,-2.00e-01,
247,7.20e+00,-1.44e+00,-6.80e-01,
248,7.20e+00,-1.48e+00,-6.40e-01,
249,-5.00e+00,-2.04e+00,-3.20e-01,
250,-5.00e+00,-1.84e+00,-3.60e-01,
251,-1.04e+01,-4.80e-01,3.20e-01,
252,-1.04e+01,-4.40e-01,3.20e-01,
253,-6.00e+00,1.44e+00,6.00e-01,
254,-6.40e+00,1.40e+00,6.00e-01,
255,5.40e+00,1.88e+00,1.20e-01,
256,5.00e+00,1.60e+00,1.20e-01,
257,1.06e+01,8.00e-02,-4.80e-01,
258,1.06e+01,8.00e-02,-4.00e-01,
259,4.40e+00,-1.84e+00,-6.40e-01,
260,4.40e+00,-2.04e+00,-6.40e-01,
261,-8.00e+00,-1.56e+00,-4.00e-02,
262,-7.80e+00,-1.56e+00,-8.00e-02,
263,-1.04e+01,0.00e+00,5.20e-01,
264,-1.02e+01,4.00e-02,6.00e-01,
265,-3.60e+00,1.76e+00,4.00e-01,
266,-3.60e+00,1.84e+00,4.40e-01,
267,7.80e+00,1.36e+00,-2.00e-01,
268,7.40e+00,1.36e+00,-1.20e-01,
269,1.06e+01,-4.40e-01,-6.40e-01,
270,1.04e+01,-4.80e-01,-6.40e-01,
271,1.00e+00,-2.04e+00,-3.60e-01,
272,1.40e+00,-2.04e+00,-4.00e-01,
273,-1.02e+01,-1.28e+00,2.40e-01,
274,-1.04e+01,-1.24e+00,2.00e-01,
275,-9.40e+00,5.60e-01,6.00e-01,
276,-9.80e+00,5.20e-01,6.00e-01,
277,-2.00e-01,1.84e+00,2.00e-01,
278,-6.00e-01,1.84e+00,2.40e-01,
279,1.00e+01,9.60e-01,-4.40e-01,
280,1.06e+01,1.00e+00,-3.60e-01,
281,8.60e+00,-1.00e+00,-6.40e-01,
282,9.00e+00,-1.04e+00,-6.40e-01,
283,-2.40e+00,-2.04e+00,-1.20e-01,
284,-2.00e+00,-2.04e+00,-1.60e-01,
285,-1.04e+01,-8.80e-01,4.80e-01,
286,-1.04e+01,-8.40e-01,4.00e-01,
287,-7.80e+00,1.04e+00,6.00e-01,
288,-8.20e+00,1.08e+00,4.80e-01,
289,2.80e+00,1.88e+00,-8.00e-02,
290,2.60e+00,1.76e+00,-8.00e-02,
291,1.06e+01,5.20e-01,-6.00e-01,
292,1.06e+01,5.20e-01,-6.80e-01,
293,6.80e+00,-1.48e+00,-4.00e-01,
294,7.20e+00,-1.52e+00,-4.40e-01,
295,-5.20e+00,-2.04e+00,1.60e-01,
296,-5.00e+00,-1.84e+00,1.60e-01,
297,-1.04e+01,-4.40e-01,5.60e-01,
298,-1.04e+01,-4.40e-01,5.60e-01,
299,-6.00e+00,1.48e+00,2.00e-01,
300,-6.20e+00,1.48e+00,2.80e-01,
301,5.60e+00,1.84e+00,-3.20e-01,
302,5.40e+00,1.60e+00,-3.20e-01,
303,1.06e+01,4.00e-02,-6.00e-01,
304,1.06e+01,8.00e-02,-6.00e-01,
305,4.00e+00,-1.84e+00,-1.60e-01,
306,4.00e+00,-2.04e+00,-2.00e-01,
307,-8.20e+00,-1.56e+00,4.00e-01,
308,-7.80e+00,-1.60e+00,3.60e-01,
309,-1.04e+01,0.00e+00,6.00e-01,
310,-1.04e+01,0.00e+00,5.60e-01,
311,-3.20e+00,1.76e+00,-4.00e-02,
312,-3.40e+00,1.84e+00,4.00e-02,
313,7.80e+00,1.32e+00,-5.60e-01,
314,7.80e+00,1.32e+00,-6.80e-01,
315,1.06e+01,-4.40e-01,-4.40e-01,
316,1.02e+01,-4.80e-01,-4.80e-01,
317,1.00e+00,-2.04e+00,8.00e-02,
318,1.00e+00,-2.04e+00,8.00e-02,
319,-1.02e+01,-1.20e+00,5.60e-01,
320,-1.04e+01,-1.28e+00,6.00e-01,
321,-9.40e+00,5.20e-01,3.20e-01,
322,-9.80e+00,5.60e-01,3.20e-01,
